站,zhàn,station; to stand,"別讓我一直站在這裡。
bié ràng wǒ yìzhí zhàn zài zhèlǐ 。
Don't make me stand here."
野餐,yěcān,PICNICS,
超市,chāo shì,supermarket; abbr. for 超級市場|超级市场,"我們有一個大超市。
wǒmen yǒu yígè dà chāoshì 。
We have a big supermarket."
沙發,shā fā,sofa (loanword); (Internet slang) the first reply or replier to a forum post,"它在沙發上。
tā zài shāfā shàng 。
It's on the sofa."
時鐘,shízhōng,Clock,
白飯,báifàn,White rice,
白,bái,white; snowy,"我明白了。
wǒ míngbái le 。
I understand!"
黑,hēi,black; dark,"他有兩隻貓:一隻黑的一隻白的。
tā yǒu liǎngzhǐ māo : yīzhī hēi de yīzhī bái de 。
I have two cats; a black one and a white one."
紅,hóng,red; popular,"哪一件T恤是紅色的?
nǎ yījiàn Txù shì hóngsè de ?
Which t-shirt is red?"
藍,lán,blue; indigo plant,"我的眼睛是藍色的。
wǒ de yǎnjīng shì lánsè de 。
My eyes are blue."
綠,lǜ,green,"她從來不穿綠色的衣服。
tā cóngláibù chuān lǜsè de yīfú 。
She never wears green."
黃,huáng,yellow; pornographic,"我女兒喜歡吃蛋黃。
wǒ nǚér xǐhuān chī dànhuáng 。
My daughter likes to eat egg yolks."
橙,chéng,Orange,
垃圾,lā jī,trash; refuse,"第二天早上，狄馬從垃圾箱裏走了出來，但卻發現自己全身的衣服都沾上了垃圾的臭味。
dìèrtiān zǎoshàng ， dímǎ cóng lājīxiāng lǐ zǒu le chūlái ， dàn què fāxiànzìjǐ quánshēn de yīfú dōu zhān shàng le lājī de chòuwèi 。
The next morning, Dima got out of the dumpster, but only to realize that all of his clothes now smelled like garbage."
吃醋,chīcù,Jealousy,
羨慕,xiàn mù,to envy; to admire,"我不得不說我羨慕你們。
wǒ bùdébù shuō wǒ xiànmù nǐmen 。
I have to say I envy you guys."
車庫,chē kù,garage,"你有車庫嗎？
nǐ yǒu chēkù ma ？
Do you have a garage?"
非常,fēi cháng,very; very much,"我非常喜歡你。
wǒ fēicháng xǐhuān nǐ 。
I like you very much!"
北京,Běi jīng,"Beijing, capital of People's Republic of China; Peking","他們明天晚上都會去北京大學上課。
tāmen míngtiān wǎnshàng dōu huì qù běijīngdàxué shàngkè 。
Tomorrow night, they will all go to Beijing University to attend class."
柏林,bǎilín,Berlin,
西班牙,xībānyá,Spain,
比利時,bǐlì shí,Belgium,
巴黎,Bā lí,"Paris, capital of France","給我看看你在巴黎拍的照片吧。
gěi wǒ kànkàn nǐ zài bālí pāi de zhàopiān ba 。
Let me see the pictures you took in Paris."
首都,shǒu dū,capital (city),"美國的首都是華盛頓還是紐約？
měiguó de shǒudū shì huáshèngdùn háishì niǔyuē ？
Which is the capital of the United States, Washington or New York?"
地區,dì qū,local; regional,"周圍的地區非常安靜。
zhōuwéi de dìqū fēicháng ānjìng 。
The surrounding area was very quiet."
狀態,zhuàng tài,state of affairs; state,"他狀態真的很好。
tā zhuàngtài zhēnde hěn hǎo 。
He's really in good shape."
浴室,yùshì,Bathroom,
洗手間,xǐ shǒu jiān,toilet; lavatory,"我可以去洗手間嗎？
wǒ kěyǐ qù xǐshǒujiān ma ？
May I go to the restroom?"
數字,shù zì,numeral; digit,"你把數字記熟了嗎？
nǐ bǎ shùzì jìshú le ma ？
Have you learned the number by heart?"
盆栽,pénzāi,Potted plants,
花,huā,flower; blossom,"你花這麼多的錢買了什麼東西?
nǐ huā zhème duō de qián mǎi le shénme dōngxī ?
What did you buy for that much money?"
蔥油餅,cōngyóubǐng,scallion pancake,
強,qiáng,strong; powerful,"我不跟以前一樣強壯了。
wǒ bù gēn yǐqián yīyàng qiángzhuàng le 。
I'm not as strong as I used to be."
果子,guǒzǐ,fruit,
鍋,guō,pot; pan,"我去用鍋煎一個蛋。
wǒ qù yòng guō jiān yígè dàn 。
I am going to fry an egg in a pan."
平鍋,píngguō,Pan,
蔬菜,shū cài,vegetables; produce,"她昨天買了一些蔬菜。
tā zuótiān mǎi le yīxiē shūcài 。
She bought some vegetables yesterday."
牛肉,níuròu,Beef,
豬肉,zhūròu,Pork,
羊肉,yáng ròu,mutton; goat meat,"您想吃几串烤羊肉？
nín xiǎng chī jǐchuàn kǎoyángròu ？
How many kebabs will you have?"
雞,jī,fowl; chicken,"我經常吃雞。
wǒ jīngcháng chī jī 。
I often eat chicken."
衣櫃,yīgùi,Wardrobe,
帶走,dài zǒu,to carry; to take away,
點菜,diǎncài,à la carte,
架子,jiàzǐ,Cabinet,
書架,shū jià,bookshelf,"他做了一個書架給她。
tā zuò le yígè shūjià gěi tā 。
He made her a bookshelf."
一張紙,yīzhāngzhǐ,A piece of paper,
租,zū,to hire; to rent,"我找到了一輛出租車，但裏面卻沒有司機。
wǒ zhǎodào le yīliàng chūzūchē ， dàn lǐmiàn què méiyǒu sījī 。
I found a taxi, but there was no driver inside."
租金,zūjīn,Rent,
窗戶,chuāng hu,window,"她告訴我把窗戶打開。
tā gàosù wǒ bǎ chuānghù dǎkāi 。
She told me to open the window."
計程車,jìchéngchē,Taxicab,
我自己,wǒ zìjǐ,myself,
還沒,huánméi,not yet,
決定,jué dìng,to decide (to do something); to resolve,"你是要做決定的人。
nǐ shì yào zuò juédìng de rén 。
You're the one who must decide."
特別的,tèbié de,Specially,
打折,dǎ zhé,to give a discount,"毛皮大衣在打折。
máo pídàyī zài dǎzhé 。
Fur coats are on sale."
信用卡,xìn yòng kǎ,credit card,"對不起，我們不接受信用卡。
duìbùqǐ ， wǒmen bù jiēshòu xìnyòngkǎ 。
Sorry, we don't accept credit cards."
年,nián,year,"2014年要到來了。
2014 nián yào dàolái le 。
The year 2014 has arrived."
點,diǎn,point; dot,"9點可以嗎？
9 diǎn kěyǐ ma ？
Would 9 o'clock be all right?"
有精,yǒu jīng,Yu Jing,
如果,rú guǒ,if; in case,"如果你能就來吧。
rúguǒ nǐ néng jiù lái ba 。
Come if you can!"
成為,chéng wéi,to become; to turn into,"她成為我的一位真正的朋友。
tā chéngwéi wǒ de yīwèi zhēnzhèng de péngyǒu 。
She became a true friend of mine."
巧克力,qiǎo kè lì,chocolate (loanword),"你不喜歡巧克力對吧？
nǐ bù xǐhuān qiǎokèlì duì ba ？
You don't like chocolate, do you?"
蘋果,píng guǒ,apple,"他們的蘋果沒有我們的好。
tāmen de píngguǒ méiyǒu wǒmen de hǎo 。
Their apples aren't as good as our apples."
香蕉,xiāng jiāo,banana,"我一點也不要香蕉。
wǒ yìdiǎn yě búyào xiāngjiāo 。
I don't want any bananas at all."
草莓,cǎoméi,Garden strawberry,
梨,lí,pear,"雪梨是澳洲最大的城市。
xuělí shì àozhōu zuìdà de chéngshì 。
Sydney is Australia's largest city."
葡萄,pú tao,grape,"我們想再來一瓶葡萄酒。
wǒmen xiǎng zài lái yīpíng pútáojiǔ 。
We'd like another bottle of wine."
檸檬,níngméng,lemons,
桃子,táozǐ,Peach,
切,qiē,to cut; to slice,"你是我的一切。
nǐ shì wǒ de yīqiè 。
You're everything to me."
婚禮,hūn lǐ,wedding ceremony; wedding,"這可能是一場婚禮。
zhè kěnéng shì yīchǎng hūnlǐ 。
It might be a wedding."
結婚,jié hūn,to marry; to get married,"他和他結婚了。
tā hé tā jiéhūn le 。
He married him."
生日,shēng rì,birthday,"我的生日就快到了。
wǒ de shēngrì jiù kuài dào le 。
It's my birthday soon."
排球,páiqíu,Volleyball,
有時候,yǒu shíhòu,sometimes,
絕不,jué bù,in no way; not in the least,"你知道我絕不會做那種事。
nǐ zhīdào wǒ juébúhuì zuò nàzhǒng shì 。
You know I'd never do that kind of thing."
總是,zǒng shì,always,"我總是說好!
wǒ zǒngshì shuōhǎo !
I always say yes!"
