顧客;gùkè;customer;[sound:顧客.mp3]
站;zhàn;station (MRT, bus);[sound:站.mp3]
野餐;yěcān;picnic;[sound:野餐.mp3]
超市;chāoshì;supermarket;[sound:超市.mp3]
沙發;shāfā;couch, sofa;[sound:沙發.mp3]
時鐘;shízhōng;clock (a big one in a room);[sound:時鐘.mp3]
白板;báibǎn;white board;[sound:白板.mp3]
白;bái;white;[sound:白.mp3]
黑;hēi;black;[sound:黑.mp3]
紅;hóng;red;[sound:紅.mp3]
藍;lán;blue;[sound:藍.mp3]
綠;lv̀;black;[sound:綠.mp3]
黃;huáng;green;[sound:黃.mp3]
橙;chéng;orange;[sound:橙.mp3]
垃圾;lājí;trash, bini;[sound:垃圾.mp3]
吃醋;chīcù;jealous;[sound:吃醋.mp3]
羨慕;xiànmù;envy;[sound:羨慕.mp3]
車庫;chēkù;garage;[sound:車庫.mp3]
非常;fēicháng;very, mentionable, extraordinary;[sound:非常.mp3]
北京;běijīng;Beijing;[sound:北京.mp3]
柏林;bǎilín;Berlin;[sound:柏林.mp3]
西班牙;xībānyá;Spain;[sound:西班牙.mp3]
比利時;bǐlì shí;Belgium;[sound:比利時.mp3]
巴黎;bālí;Paris;[sound:巴黎.mp3]
首都;shǒudū;capital city;[sound:首都.mp3]
地區;dìqū;area;[sound:地區.mp3]
狀態;zhuàngtài;state;[sound:狀態.mp3]
浴室;yùshì;Bathroom;[sound:浴室.mp3]
洗手間;xǐshǒu jiān;toilet, washroom;[sound:洗手間.mp3]
數字;shùzì;number;[sound:數字.mp3]
盆栽;pénzāi;Potted plants;[sound:盆栽.mp3]
花;huā;flower;[sound:花.mp3]
蔥油餅;cōngyóubǐng;scallion pancake;[sound:蔥油餅.mp3]
強;qiáng;strong, powerful;[sound:強.mp3]
果子;guǒzǐ;fruit;[sound:果子.mp3]
鍋;guō;pot;[sound:鍋.mp3]
平鍋;píngguō;pan;[sound:平鍋.mp3]
蔬菜;shūcài;Vegetable;[sound:蔬菜.mp3]
牛肉;níuròu;Beef;[sound:牛肉.mp3]
豬肉;zhūròu;Pork;[sound:豬肉.mp3]
羊肉;yángròu;Lamb;[sound:羊肉.mp3]
雞;jī;Chicken;[sound:雞.mp3]
衣櫃;yīgùi;Wardrobe;[sound:衣櫃.mp3]
帶走;dài zǒu;takeaway (for food);[sound:帶走.mp3]
點菜;diǎncài;a la carte, to eat in a restaurant;[sound:點菜.mp3]
架子;jiàzǐ;shelf;[sound:架子.mp3]
書架;shūjià;Bookcase;[sound:書架.mp3]
一張紙;yīzhāngzhǐ;A piece of paper;[sound:一張紙.mp3]
租;zū;to rent;[sound:租.mp3]
租金;zūjīn;the rent (payment);[sound:租金.mp3]
窗戶;chuānghù;Window;[sound:窗戶.mp3]
計程車;jìchéngchē;taxi, cab;[sound:計程車.mp3]
我自己;wǒ zìjǐ;myself;[sound:我自己.mp3]
還沒;huánméi;not yet;[sound:還沒.mp3]
決定;juédìng;Decisions;[sound:決定.mp3]
特別的;tèbié de;special;[sound:特別的.mp3]
打折;dǎzhé;discount;[sound:打折.mp3]
信用卡;xìnyòngqiǎ;credit card;[sound:信用卡.mp3]
年;nián;Years;[sound:年.mp3]
點;diǎn;hour;[sound:點.mp3]
有精;yǒu jīng;refined;[sound:有精.mp3]
如果;rúguǒ;if;[sound:如果.mp3]
成為;chéngwèi;becoming;[sound:成為.mp3]
巧克力;qiǎokèlì;chocolate;[sound:巧克力.mp3]
蘋果;pínguǒ;Apple;[sound:蘋果.mp3]
香蕉;xiāngjiāo;Bananas;[sound:香蕉.mp3]
草莓;cǎoméi;strawberry;[sound:草莓.mp3]
梨;lí;Pear;[sound:梨.mp3]
葡萄;pútáo;Grape;[sound:葡萄.mp3]
檸檬;níngméng;Lemon;[sound:檸檬.mp3]
桃子;táozǐ;Peach;[sound:桃子.mp3]
切;qiē;Cut;[sound:切.mp3]
婚禮;hūnlǐ;Wedding;[sound:婚禮.mp3]
結婚;jiéhūn;Marriage;[sound:結婚.mp3]
生日;shēngrì;birthday;[sound:生日.mp3]
排球;páiqíu;Volleyball;[sound:排球.mp3]
有時候;yǒu shíhòu;sometimes;[sound:有時候.mp3]
絕不;juébù;absolutely not, no way, never;[sound:絕不.mp3]
總是;zǒngshì;always,;[sound:總是.mp3]
游泳;yóuyǒng;to swim;[sound:游泳.mp3]
游泳池;yóuyǒngchí;Swimming Pool;[sound:游泳池.mp3]
健身房;jiànshēnfáng;gym;[sound:健身房.mp3]
